ACCOUNT_NO,REFNO,BILLDT_A,MonthsDiff,am
93411613,1001921646,7/31/2018,8,12
99651269,1001952823,7/31/2018,8,18
95446795,1001979043,7/31/2018,8,8
96921250,1000425559,12/31/2017,15,62
80463046,1000332569,12/31/2017,15,30.645
91879255,1000351604,12/31/2017,15,11
74941793,1006195325,3/31/2019,0,56
71772157,1004470259,12/31/2018,3,11
94798011,1000898073,3/31/2018,12,131.11
97724040,1001055859,3/31/2018,12,51.05
81148665,1001021280,3/31/2018,12,7.11E-15
95317016,1000891893,3/31/2018,12,10
99022217,1000978196,3/31/2018,12,69.815
75580100,1000487954,1/31/2018,14,19
4707618,1000547573,1/31/2018,14,48.23
59210795,1000617908,1/31/2018,14,9
96771124,1000515353,1/31/2018,14,39.5
98151848,1000542069,1/31/2018,14,43.12
97004637,1004996955,1/31/2019,2,240
97401079,1005048402,1/31/2019,2,11
7943106,1005206349,2/28/2019,1,52.5
64563870,1002198373,8/31/2018,7,20.29
42783513,1002022049,8/31/2018,7,15.8
49148527,1002034333,8/31/2018,7,29
96303219,1002128497,8/31/2018,7,21
65222477,179134785,10/31/2017,17,11
93446482,178855990,10/31/2017,17,1.42E-14
6700408,176974006,8/31/2017,19,54.675
20837823,176818443,8/31/2017,19,40
95399379,176251135,8/31/2017,19,31.385
97746435,1003566554,11/30/2018,4,12
20783050,1003523739,11/30/2018,4,70.52
94768432,1003595332,11/30/2018,4,180
67497275,1003089968,11/30/2018,4,15
98948684,1000841454,2/28/2018,13,19.395
45025265,1000687389,2/28/2018,13,-2.89E-15
33431917,1001436194,5/31/2018,10,3.4
99457880,1001440732,5/31/2018,10,57
63674221,1001489289,5/31/2018,10,-6.27E-15
99081702,1001508251,5/31/2018,10,58
77177836,1001403735,5/31/2018,10,12
100047117,1002345162,9/30/2018,6,45.54
100021050,1002369659,9/30/2018,6,29
48065468,1005302234,2/28/2019,1,18
93041317,171107108,4/30/2017,23,74.34
89702189,171194425,4/30/2017,23,111.355
29485678,171826246,4/30/2017,23,163.295
99548069,1002694640,10/31/2018,5,18
99484596,1002631255,10/31/2018,5,18
99003478,1005053449,1/31/2019,2,17
11848285,1004631550,1/31/2019,2,32.07
99456620,1004197960,12/31/2018,3,18
25923018,1004149336,12/31/2018,3,34
81512363,1004345954,12/31/2018,3,11
95052318,1004200068,12/31/2018,3,156
98544561,1004316600,12/31/2018,3,10
91241315,1004033382,12/31/2018,3,35
68150301,1001275335,4/30/2018,11,53.89
68485748,1001174626,4/30/2018,11,10
95693543,1001145954,4/30/2018,11,59.5
97027376,1001150080,4/30/2018,11,11
93756100,1001151952,4/30/2018,11,7.5
94120870,1000180063,11/30/2017,16,49
74067321,1000007994,11/30/2017,16,20
95149818,1000059210,11/30/2017,16,49
96913058,1000172001,11/30/2017,16,220.895
91503723,1000095933,11/30/2017,16,20
93448053,1000024357,11/30/2017,16,18
2700311,1005180113,2/28/2019,1,27.655
97031987,1001779208,6/30/2018,9,11
71320106,1001678877,6/30/2018,9,43
99480542,1001685183,6/30/2018,9,42.7
90154642,1001694788,6/30/2018,9,10
66712208,1001687049,6/30/2018,9,11
97112975,1001623583,6/30/2018,9,11
95148840,1000804371,2/28/2018,13,10
28902488,1002239267,8/31/2018,7,16.5
52363480,1002048560,8/31/2018,7,11
93832266,1002328410,9/30/2018,6,10
69427410,1004380666,12/31/2018,3,17
92762438,1004180908,12/31/2018,3,38.76
91533661,178946972,10/31/2017,17,23
96815700,178785057,10/31/2017,17,1.935
91506323,178901763,10/31/2017,17,10
94114407,178838166,10/31/2017,17,38
59808949,1003343568,11/30/2018,4,14
94699598,1003643887,11/30/2018,4,164
98499828,1003437621,11/30/2018,4,15
91276561,178925333,10/31/2017,17,14
93650425,178855305,10/31/2017,17,47
74055320,179058019,10/31/2017,17,49
87502859,178959799,10/31/2017,17,13
48582270,1003542237,11/30/2018,4,34.2
100285983,192139574,6/30/2018,9,39
99020014,1001723983,6/30/2018,9,57
69009697,1001759033,6/30/2018,9,31
94508665,1001658316,6/30/2018,9,9
97547232,1001678884,6/30/2018,9,74
9326030,1005800163,3/31/2019,0,67
95146374,1002565362,10/31/2018,5,10
2359352,1002546725,10/31/2018,5,-1.42E-14
59994162,1002681282,10/31/2018,5,61.81
96297530,1002676025,10/31/2018,5,11
100115913,1001946773,7/31/2018,8,57
84469158,1001962141,7/31/2018,8,15.5
100166453,1005047120,1/31/2019,2,11
99550040,1005077663,1/31/2019,2,26
98870580,1000998610,3/31/2018,12,57
97940513,1000910474,3/31/2018,12,82
99467860,1004443155,12/31/2018,3,18
85485718,1004325511,12/31/2018,3,135.88
29365806,1002124401,8/31/2018,7,35
98232381,1002056903,8/31/2018,7,21
97549277,1002149001,8/31/2018,7,20.2
65358491,1000809582,2/28/2018,13,56.47
81879192,1000816885,2/28/2018,13,32.535
96778982,1000759375,2/28/2018,13,60
70653343,1000775971,2/28/2018,13,5.9
99362260,1005564205,2/28/2019,1,9
33405141,1000308637,12/31/2017,15,31.26
95898736,1000341541,12/31/2017,15,38.905
94305444,1002246561,9/30/2018,6,9
97450728,1002379748,9/30/2018,6,40.04
46229929,1002336512,9/30/2018,6,10
99464937,1002377874,9/30/2018,6,15
99496197,1005059761,1/31/2019,2,18
20225660,1000236613,12/31/2017,15,-4.22E-15
63664630,1000355750,12/31/2017,15,466.735
10828436,1000398940,12/31/2017,15,81.225
1324366,1000245943,12/31/2017,15,40.91
76779166,1000332748,12/31/2017,15,8.88E-16
66828041,1000874205,2/28/2018,13,37.605
93079540,1000689412,2/28/2018,13,10
94816694,1000824678,2/28/2018,13,5
40666323,1000720191,2/28/2018,13,8
93756896,1000781787,2/28/2018,13,19
2719344,1000130443,11/30/2017,16,73.3
97206064,1000032758,11/30/2017,16,22.15
96862038,1000036830,11/30/2017,16,107.125
91987088,1000020066,11/30/2017,16,23
55025341,1000012136,11/30/2017,16,10.005
97196186,1000020456,11/30/2017,16,6.6
56080645,1000112554,11/30/2017,16,47
93945700,1000014190,11/30/2017,16,19
97119155,1006286535,3/31/2019,0,11
96324673,1000447759,1/31/2018,14,39
95811588,1000621781,1/31/2018,14,19
80173998,1000542766,1/31/2018,14,16
91234785,1000465901,1/31/2018,14,43.305
93483880,1000560291,1/31/2018,14,23
96859714,1001168592,4/30/2018,11,14.2
97161664,1001303708,4/30/2018,11,17.2
90705622,1001291124,4/30/2018,11,-1.07E-14
97816220,1001289429,4/30/2018,11,54
59405089,1001764110,6/30/2018,9,57.93
99990945,1001572594,6/30/2018,9,57
96666948,1005531946,2/28/2019,1,143.26
42485848,174250063,6/30/2017,21,12
82850010,174763129,6/30/2017,21,63.325
51469741,174917469,6/30/2017,21,50.2
83086535,174014201,6/30/2017,21,19
99478031,1002367625,9/30/2018,6,17
93415655,1002406284,9/30/2018,6,8
51138219,1002246482,9/30/2018,6,15.2
97286989,1001964895,7/31/2018,8,17
59544880,1003255632,11/30/2018,4,18
97493077,1003404389,11/30/2018,4,14
58418623,1003382480,11/30/2018,4,11
64517718,1004323228,12/31/2018,3,18
95425780,1004351807,12/31/2018,3,62.625
33749103,1002167387,8/31/2018,7,14.4
92983571,1002169327,8/31/2018,7,10
65456944,1001452397,5/31/2018,10,1.78E-15
97336403,1001458987,5/31/2018,10,11
94934095,1001540810,5/31/2018,10,57.04
99077152,1001440699,5/31/2018,10,57
98822081,1000984304,3/31/2018,12,57.05
97870973,1005544270,2/28/2019,1,14
92244282,1000261459,12/31/2017,15,22.5
92656067,1000423278,12/31/2017,15,8.5
97623880,1000272002,12/31/2017,15,34.645
97023644,1000263744,12/31/2017,15,50
88481232,1000292032,12/31/2017,15,48
68075042,1000223832,12/31/2017,15,13
64287051,1001136484,4/30/2018,11,39
94243517,1001141883,4/30/2018,11,10
96810166,1001326257,4/30/2018,11,28.2
68102458,1001209803,4/30/2018,11,11
80383427,1001693508,6/30/2018,9,35.7
94955542,1001754529,6/30/2018,9,10
6014574,1001734673,6/30/2018,9,33.54
94715774,177527239,9/30/2017,18,49
90076217,177624697,9/30/2017,18,8.4
6242418,178265017,9/30/2017,18,25.7
55317297,177994584,9/30/2017,18,50.5
99052532,1004496396,12/31/2018,3,31
6350562,1004072222,12/31/2018,3,11.85
96655902,1004502238,12/31/2018,3,12
91587372,1003358815,11/30/2018,4,3.8
80531337,1003403051,11/30/2018,4,8
99795838,1003454187,11/30/2018,4,9
92444179,173871333,6/30/2017,21,20
57385932,173749338,5/31/2017,22,38.745
66880701,173681806,5/31/2017,22,24.03
43950292,173148674,5/31/2017,22,229.13
14387402,173140545,5/31/2017,22,16
93914969,172512106,5/31/2017,22,11.26
95626074,1000112534,11/30/2017,16,49
93564430,1000067402,11/30/2017,16,8
1129946,1000000129,11/30/2017,16,3.55E-15
98804443,1003328744,11/30/2018,4,10
99246107,1003359624,11/30/2018,4,11
100041220,1003107727,11/30/2018,4,15
22849282,1003176443,11/30/2018,4,4.92
83505179,1003177836,11/30/2018,4,73.965
72138890,1003516061,11/30/2018,4,1
58794475,176602906,8/31/2017,19,49
95212401,176254764,8/31/2017,19,46.905
40951730,176666053,8/31/2017,19,16
84155826,176426354,8/31/2017,19,154.15
73005824,176496934,8/31/2017,19,49
94955542,1002690371,10/31/2018,5,10
99795838,1002637297,10/31/2018,5,9
49391598,1000671348,2/28/2018,13,142.71
65931324,1000786187,2/28/2018,13,13
94675260,1000824667,2/28/2018,13,8
95300703,1000730577,2/28/2018,13,9
100223990,1005699960,2/28/2019,1,11
52290104,175583482,7/31/2017,20,19
84020404,175146171,7/31/2017,20,23.4
96694970,1004988269,1/31/2019,2,174.5
74291350,1002275686,9/30/2018,6,8
7943106,1002333088,9/30/2018,6,51.97
94978580,1002272974,9/30/2018,6,10
99120951,1002400371,9/30/2018,6,10
97835961,1002451360,9/30/2018,6,37.084
75693203,1000408719,12/31/2017,15,55.745
18226668,1000366160,12/31/2017,15,78.845
60670927,1000355723,12/31/2017,15,42.615
91326746,1000269619,12/31/2017,15,58.13
92550162,1000419235,12/31/2017,15,23
90840835,181855144,12/31/2017,15,20.25
98549340,1001678952,6/30/2018,9,15
75408818,1001786712,7/31/2018,8,9
26846597,1002516541,10/31/2018,5,16.5
99671918,1002623080,10/31/2018,5,29
99610450,1004218459,12/31/2018,3,18
81075613,1006209754,3/31/2019,0,40.915
85903243,1000362188,12/31/2017,15,8
97322398,1000294489,12/31/2017,15,4.37
89510756,1000224659,12/31/2017,15,8
54389689,1000228843,12/31/2017,15,38.645
95163554,1000286232,12/31/2017,15,36.84
7441976,1001850970,7/31/2018,8,-7.11E-15
65234066,1001827871,7/31/2018,8,18
71117180,1003626280,11/30/2018,4,170
97581951,1005540312,2/28/2019,1,9
96575049,1001119363,4/30/2018,11,16.2
100162563,1001520654,5/31/2018,10,74.745
74786908,1001403675,5/31/2018,10,11
51697798,1001331985,5/31/2018,10,67.75
98987446,1001463155,5/31/2018,10,46
48274586,1001552360,5/31/2018,10,160.96
57108444,1006154920,3/31/2019,0,85
43937871,1002335901,9/30/2018,6,85.845
83392014,1002386272,9/30/2018,6,17.3
97729360,1004050514,12/31/2018,3,17
54426443,1004014049,12/31/2018,3,12.9
99528095,1004005439,12/31/2018,3,18
90453130,171183320,4/30/2017,23,20
99571031,1002126581,8/31/2018,7,18
94283370,1002081262,8/31/2018,7,9
52129743,1002057044,8/31/2018,7,91.6
7229276,1002242888,8/31/2018,7,1.5
85568703,1000879543,2/28/2018,13,-3.55E-15
68655332,1004810890,1/31/2019,2,48
76656664,1004867176,1/31/2019,2,15
97086332,1005044275,1/31/2019,2,240
100019572,1005061131,1/31/2019,2,11
98941215,1002557479,10/31/2018,5,17
96313857,1002676026,10/31/2018,5,10
93956710,1002636907,10/31/2018,5,16.2
99547156,1005077581,1/31/2019,2,18
98366920,1006006797,3/31/2019,0,15
74357165,1001663626,6/30/2018,9,156
97476523,1001607224,6/30/2018,9,18
99749658,1003394413,11/30/2018,4,18
99246958,1003537713,11/30/2018,4,16.5
63825387,1003495121,11/30/2018,4,25.5
71079713,1003540489,11/30/2018,4,17
20998855,1005217931,2/28/2019,1,10
96757279,1001407747,5/31/2018,10,11
99052714,1001352637,5/31/2018,10,46
92056258,1001456673,5/31/2018,10,11
6236194,1005224059,2/28/2019,1,83.85
97340315,1004997894,1/31/2019,2,11
69435327,DB/00341103/17,3/31/2018,12,0.4
44099472,187515593,3/31/2018,12,20.25
97552355,1000890005,3/31/2018,12,92.59
93572062,1000955243,3/31/2018,12,11
95944953,1000984133,3/31/2018,12,18
41008534,175394644,7/31/2017,20,16
94010298,174982054,7/31/2017,20,225.725
93137230,174997639,7/31/2017,20,53
85535606,175151626,7/31/2017,20,24
58979633,175343731,7/31/2017,20,68.7
98323866,1001687126,6/30/2018,9,38
13676064,1001662087,6/30/2018,9,23
47167646,1001645518,6/30/2018,9,42
67191241,1001562332,6/30/2018,9,55.93
93758870,176279520,8/31/2017,19,82.25
93682402,176281360,8/31/2017,19,55.3
48413008,1004737187,1/31/2019,2,18
5395021,1004616175,1/31/2019,2,241.01
95799333,1005009747,1/31/2019,2,72
68799664,176642321,8/31/2017,19,42.5
46019273,1000298668,12/31/2017,15,8
99587580,1003359682,11/30/2018,4,18
97249932,1003361374,11/30/2018,4,8
1151964,1003235302,11/30/2018,4,123.315
94840994,1002579591,10/31/2018,5,10
96140628,1001544930,5/31/2018,10,11
6365176,1001504531,5/31/2018,10,25
30543563,1005263958,2/28/2019,1,62
45637805,1004728993,1/31/2019,2,15
99483907,1005059558,1/31/2019,2,15
98165379,1005031124,1/31/2019,2,18
96222402,1002381788,9/30/2018,6,11
100036594,1004349653,12/31/2018,3,15
34691169,178130216,9/30/2017,18,16.25
93965291,177544301,9/30/2017,18,49
96936344,1005997197,3/31/2019,0,14
98481356,1002128593,8/31/2018,7,17
42687093,1002116372,8/31/2018,7,14
99917087,1004130427,12/31/2018,3,10
4548980,1004235731,12/31/2018,3,14
99073110,1004477925,12/31/2018,3,18
99504698,1004275765,12/31/2018,3,15
73950907,1003966972,12/31/2018,3,11
93045815,1000087862,11/30/2017,16,24
43610456,1000157656,11/30/2017,16,50
97397600,1000122879,11/30/2017,16,10.63
95025066,1000216941,11/30/2017,16,58
99901602,1005569618,2/28/2019,1,32
32651065,1000447390,1/31/2018,14,87.515
56140939,1000452003,1/31/2018,14,21.2
98020456,1006288028,3/31/2019,0,12
97555563,1001993517,7/31/2018,8,20.13
84712314,169991249,3/31/2017,24,21.135
41272791,1002014161,8/31/2018,7,11
83001098,1002200915,8/31/2018,7,39.33
46640757,1002034338,8/31/2018,7,35.29
97745479,1002015936,8/31/2018,7,12
97741747,1001322108,4/30/2018,11,90
96775683,1001113166,4/30/2018,11,11.2
95523960,1001240185,4/30/2018,11,11
32596765,1001279154,4/30/2018,11,11
94456940,1001180797,4/30/2018,11,19
95663575,1001678805,6/30/2018,9,8
73870535,1001642938,6/30/2018,9,74
97206910,1005999010,3/31/2019,0,11
98169026,1005549656,2/28/2019,1,29
69591180,1003521768,11/30/2018,4,16.5
95973515,1003240425,11/30/2018,4,9
99041480,1001997875,7/31/2018,8,30.58
61963045,1001997947,7/31/2018,8,58.815
51726622,1001885113,7/31/2018,8,11
49423678,1001181007,4/30/2018,11,103.785
76105520,1001293427,4/30/2018,11,12.5
94829184,1001162299,4/30/2018,11,10
95481011,1001201216,4/30/2018,11,22.5
87150402,1001254778,4/30/2018,11,71.4
99603901,1001310069,4/30/2018,11,163.145
98651330,1001283324,4/30/2018,11,23.765
44426653,1000965672,3/31/2018,12,25.355
70937643,1000973816,3/31/2018,12,9
59399685,1000949575,3/31/2018,12,57
71194010,1001006574,3/31/2018,12,12
44881976,1003962922,12/31/2018,3,18
70847964,1001770939,6/30/2018,9,10
35453898,192873535,6/30/2018,9,16.25
97032979,1001637861,6/30/2018,9,9
99016722,1002334837,9/30/2018,6,32
98502268,1002328626,9/30/2018,6,17
74159446,1003520131,11/30/2018,4,118.135
98799289,1003449580,11/30/2018,4,17
68646963,1003601733,11/30/2018,4,8
99153208,1003566744,11/30/2018,4,17.8
99147919,1000986378,3/31/2018,12,43.16
94500368,1001008544,3/31/2018,12,25.2
61079819,1005425681,2/28/2019,1,10
63577884,1004356197,12/31/2018,3,15
50038394,1004114179,12/31/2018,3,63
98887350,1001334170,5/31/2018,10,34
27068353,1001356562,5/31/2018,10,24.7
96687319,1000681554,2/28/2018,13,62
93583618,1000787903,2/28/2018,13,10
67968855,1000820780,2/28/2018,13,13
46023112,1000788221,2/28/2018,13,81.59
97143017,1000810603,2/28/2018,13,56.79
82050776,1005926897,3/31/2019,0,11
25044825,1005807747,3/31/2019,0,220
97973944,1002518493,10/31/2018,5,12
69055348,1002504496,10/31/2018,5,10
54897830,1002682344,10/31/2018,5,20.2
98506742,1005685085,2/28/2019,1,17
61551661,1005350785,2/28/2019,1,9
46552649,1005855933,3/31/2019,0,1.615
63315579,1001971040,7/31/2018,8,21.935
94038211,1001819438,7/31/2018,8,10
96989191,1001835942,7/31/2018,8,24
94303411,1003964774,12/31/2018,3,134
98361934,1000626063,1/31/2018,14,23.805
97308754,1000623923,1/31/2018,14,47
56608470,1000506772,1/31/2018,14,54.925
93004278,1000642099,1/31/2018,14,13.5
94067983,1000511078,1/31/2018,14,8
92113953,1000506969,1/31/2018,14,22.5
69104074,1000567315,1/31/2018,14,11.4
99592903,1005566713,2/28/2019,1,21
83070497,1000014229,11/30/2017,16,47.8
96708037,1000124872,11/30/2017,16,78.535
65250126,1000069679,11/30/2017,16,19
94193976,1001609133,6/30/2018,9,11
99991639,1001717992,6/30/2018,9,59
96895020,1001736029,6/30/2018,9,14
99611235,1001562327,6/30/2018,9,63
97516235,1005049087,1/31/2019,2,267
70919690,1004817001,1/31/2019,2,39
96717610,1002134608,8/31/2018,7,17
55541902,1002077419,8/31/2018,7,18.4
97378811,1002063008,8/31/2018,7,11
92535392,175015116,7/31/2017,20,51
50084227,175377480,7/31/2017,20,41.65
90272067,166656253,1/31/2017,26,81.05
97879551,1001552652,5/31/2018,10,49
95571073,1001397458,5/31/2018,10,10
99035613,1001528758,5/31/2018,10,57
48083112,1001411203,5/31/2018,10,3
94247390,1001458874,5/31/2018,10,19
99654131,1001358821,5/31/2018,10,55.1
98713190,1001512251,5/31/2018,10,35
80572388,1005416904,2/28/2019,1,59.11
46631975,1001083793,3/31/2018,12,-1.42E-14
93484940,1001098634,3/31/2018,12,20
93482139,1000951261,3/31/2018,12,19
71585710,1001049632,3/31/2018,12,11
94186200,1001086355,3/31/2018,12,10
68646367,1003575368,11/30/2018,4,58.06
81183136,1003331793,11/30/2018,4,20
